Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,57203,,57203,,57203,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
7,57203,,57203,,57203,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
3,57203,,57203,,57203,Alexander Simpson; Christopher Carroll,3.3,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
2,57203,,57203,,57203,Alexander Simpson; Christopher Carroll,0,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
4,57206,,57206,,57206,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
4,57206,,57206,,57206,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
6,57206,,57206,,57206,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
3,57206,,57206,,57206,Alexander Simpson; Christopher Carroll,3,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
1,57206,,57206,,57206,Alexander Simpson; Christopher Carroll,2,Aerospace Studies,2A,001,C,Letter Grade,C,Evolut Of Air Power
16,57209,,57209,,57209,Alexander Simpson; Christopher Carroll,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
5,57212,,57212,,57212,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
1,57212,,57212,,57212,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
1,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,002,A,Letter Grade,A+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,0,African American Studies,R1A,002,F,Letter Grade,F,Fresh Composition
4,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,3.7,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
7,00509,,00509,,00509,Aparajita Nanda,3.3,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,3,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00509,,00509,,00509,Aparajita Nanda,2,African American Studies,R1B,001,C,Letter Grade,C,Freshmn Composition
1,00515,,00515,,00515,Ivy Mills,4,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
4,00515,,00515,,00515,Ivy Mills,3.7,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
3,00515,,00515,,00515,Ivy Mills,3.3,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
2,00515,,00515,,00515,Ivy Mills,3,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
3,00515,,00515,,00515,Ivy Mills,2.7,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
1,00515,,00515,,00515,Ivy Mills,2.3,African American Studies,R1B,002,C,Letter Grade,C+,Freshmn Composition
1,00515,,00515,,00515,Ivy Mills,2,African American Studies,R1B,002,C,Letter Grade,C,Freshmn Composition
2,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A+,Africa:  Hist & Cul
6,00521,,00521,,00521,G. Ugo Nwokeji,4,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
10,00521,,00521,,00521,G. Ugo Nwokeji,3.7,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
11,00521,,00521,,00521,G. Ugo Nwokeji,3.3,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
11,00521,,00521,,00521,G. Ugo Nwokeji,3,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
10,00521,,00521,,00521,G. Ugo Nwokeji,2.7,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
4,00521,,00521,,00521,G. Ugo Nwokeji,2.3,African American Studies,4A,001,C,Letter Grade,C+,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,2,African American Studies,4A,001,C,Letter Grade,C,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,1.7,African American Studies,4A,001,C,Letter Grade,C-,Africa:  Hist & Cul
2,00521,,00521,,00521,G. Ugo Nwokeji,1.3,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
6,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,No Credit,Non-Letter Grade,Not Pass,Africa:  Hist & Cul
9,00533,,00533,,00533,Brandi Catanese,4,African American Studies,5A,001,A,Letter Grade,A,Afam Life & Cul U S
3,00533,,00533,,00533,Brandi Catanese,3.7,African American Studies,5A,001,A,Letter Grade,A-,Afam Life & Cul U S
7,00533,,00533,,00533,Brandi Catanese,3.3,African American Studies,5A,001,B,Letter Grade,B+,Afam Life & Cul U S
14,00533,,00533,,00533,Brandi Catanese,3,African American Studies,5A,001,B,Letter Grade,B,Afam Life & Cul U S
3,00533,,00533,,00533,Brandi Catanese,2.7,African American Studies,5A,001,B,Letter Grade,B-,Afam Life & Cul U S
3,00533,,00533,,00533,Brandi Catanese,2.3,African American Studies,5A,001,C,Letter Grade,C+,Afam Life & Cul U S
5,00533,,00533,,00533,Brandi Catanese,2,African American Studies,5A,001,C,Letter Grade,C,Afam Life & Cul U S
5,00533,,00533,,00533,Brandi Catanese,1.7,African American Studies,5A,001,C,Letter Grade,C-,Afam Life & Cul U S
1,00533,,00533,,00533,Brandi Catanese,1.3,African American Studies,5A,001,D,Letter Grade,D+,Afam Life & Cul U S
1,00533,,00533,,00533,Brandi Catanese,1,African American Studies,5A,001,D,Letter Grade,D,Afam Life & Cul U S
4,00533,,00533,,00533,Brandi Catanese,0,African American Studies,5A,001,F,Letter Grade,F,Afam Life & Cul U S
6,00533,,00533,,00533,Brandi Catanese,,African American Studies,5A,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
5,00533,,00533,,00533,Brandi Catanese,,African American Studies,5A,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
1,00545,,00545,,00545,Alassane Sow,4,African American Studies,7A,001,A,Letter Grade,A+,Elementary Wolof
1,00545,,00545,,00545,Alassane Sow,4,African American Studies,7A,001,A,Letter Grade,A,Elementary Wolof
2,00551,,00551,,00551,Sam Mchombo,4,African American Studies,10A,001,A,Letter Grade,A+,Intermed Swahili
4,00551,,00551,,00551,Sam Mchombo,4,African American Studies,10A,001,A,Letter Grade,A,Intermed Swahili
2,00551,,00551,,00551,Sam Mchombo,3.7,African American Studies,10A,001,A,Letter Grade,A-,Intermed Swahili
1,00551,,00551,,00551,Sam Mchombo,,African American Studies,10A,001,Credit,Non-Letter Grade,Pass,Intermed Swahili
2,00554,,00554,,00554,David Kyeu,4,African American Studies,11A,001,A,Letter Grade,A,Elementary Swahili
2,00554,,00554,,00554,David Kyeu,3.7,African American Studies,11A,001,A,Letter Grade,A-,Elementary Swahili
2,00554,,00554,,00554,David Kyeu,3.3,African American Studies,11A,001,B,Letter Grade,B+,Elementary Swahili
1,00554,,00554,,00554,David Kyeu,3,African American Studies,11A,001,B,Letter Grade,B,Elementary Swahili
4,00557,,00557,,00557,David Kyeu,4,African American Studies,11A,002,A,Letter Grade,A,Elementary Swahili
1,00557,,00557,,00557,David Kyeu,3.3,African American Studies,11A,002,B,Letter Grade,B+,Elementary Swahili
2,00566,,00566,,00566,David Kyeu,4,African American Studies,15A,001,A,Letter Grade,A+,Advanced Swahili
16,00572,,00572,,00572,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
