Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,57303,,57303,,57303,Brian Stone; Charles Rice,4,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
2,57303,,57303,,57303,Brian Stone; Charles Rice,4,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
4,57303,,57303,,57303,Brian Stone; Charles Rice,3.7,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
1,57303,,57303,,57303,Brian Stone; Charles Rice,3.3,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
1,57303,,57303,,57303,Brian Stone; Charles Rice,3,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
1,57306,,57306,,57306,Brian Stone,4,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
4,57306,,57306,,57306,Brian Stone,4,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
3,57306,,57306,,57306,Brian Stone,3.7,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
2,57306,,57306,,57306,Brian Stone,3.3,Aerospace Studies,2B,001,B,Letter Grade,B+,Evolut Of Air Power
35,57309,,57309,,57309,Charles Rice,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
5,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
2,57312,,57312,,57312,Charles Rice,4,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
2,57312,,57312,,57312,Charles Rice,3.7,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
1,57312,,57312,,57312,Charles Rice,3.3,Aerospace Studies,135B,001,B,Letter Grade,B+,Air Force Studies
1,00503,,00503,,00503,Aparajita Nanda,4,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,3.7,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
6,00503,,00503,,00503,Aparajita Nanda,3.3,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,3,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,2.7,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,2.3,African American Studies,R1A,001,C,Letter Grade,C+,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,Credit,Non-Letter Grade,Pass,Fresh Composition
2,00509,,00509,,00509,Aparajita Nanda,4,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
