db_name,canonical_name,discipline
Aerospace Studies,Aerospace Studies,Other
African American Studies,African American Studies,Social science
Ag & Environmental Chem,Agricultural & Environmental Chemistry,Natural science
Ag & Resource Econ & Pol,Agricultural & Resource Economics,Social science
American Studies,American Studies,Social science
Anc Hist & Medit Archae,Ancient History & Mediterranean Archaeology,Social science
Anthropology,Anthropology,Social science
Applied Science & Tech,Applied Science & Technology,Engineering
Arabic,Arabic,Language
Architecture,Architecture,Professional
Art Practice,Art Practice,Arts & humanities
Asian American Studies,Asian American Studies,Social science
Asian Studies,Asian Studies,Social science
Astronomy,Astronomy,Natural science
Bengali,Bengali,Language
Berk-Columbia Exec MBA,Berkeley-Columbia Executive MBA,Professional
Bioengineering,Bioengineering,Engineering
Biology,Biology,Natural science
Biophysics,Biophysics,Natural science
Buddhist Studies,Buddhist Studies,Social science
Business Admin-MBA,Business Administration (MBA),Professional
Business Admin-PhD,Business Administration (PhD),Professional
Business Admin-Undergrad,Business Administration (Undergrad),Professional
Catalan,Catalan,Language
Celtic Studies,Celtic Studies,Language
Chemical Engineering,Chemical Engineering,Engineering
Chemistry,Chemistry,Natural science
Chicano Studies,Chicano Studies,Social science
Chinese,Chinese,Language
City & Regional Planning,City & Regional Planning,Professional
Civil & Environmental Eng,Civil & Environmental Eng,Engineering
Classics,Classics,Arts & humanities
Cognitive Science,Cognitive Science,Natural science
College Writing Programs,College Writing Programs,Arts & humanities
Comparative Biochemistry,Comparative Biochemistry,Natural science
Comparative Literature,Comparative Literature,Arts & humanities
Computational Biology,Computational Biology,Natural science
Computer Science,Computer Science,Formal science
Creative Writing,Creative Writing,Arts & humanities
Critical Theory,Critical Theory,Arts & humanities
Cuneiform,Cuneiform,Language
Demography,Demography,Social science
Design Innovation,Design Innovation,Other
Development Engineering,Development Engineering,Engineering
Development Practice,Development Practice,Social science
Development Studies,Development Studies,Social science
Dutch,Dutch,Language
Earth & Planetary Science,Earth & Planetary Science,Natural science
East Asian Languages,East Asian Languages,Language
East European Studies,East European Studies,Social science
Economics,Economics,Social science
Education,Education,Professional
Egyptian,Egyptian,Language
Electrical Engineering,Electrical Engineering,Engineering
Energy and Resources,Energy & Resources,Professional
Engineering,Engineering,Engineering
English,English,Arts & humanities
"Env Sci, Policy, & Mgmt","Environmental Science, Policy, & Management",Professional
Environ Econ & Policy,Environmental Economics & Policy,Social science
Environmental Design,Environmental Design,Professional
Environmental Sciences,Environmental Sciences,Natural science
Ethnic Studies,Ethnic Studies,Social science
Ethnic Studies Grad Group,Ethnic Studies Grad Group,Social science
Eurasian Studies,Eurasian Studies,Social science
Evening & Weekend MBA,Evening & Weekend MBA,Professional
Filipino,Filipino,Language
Film,Film,Arts & humanities
